# This  reference  spectrum  was taken on Mar-21 2022-03-21 by
# David.   In principle this is saved in Intensical itself but
# Princeton  Instruments   was unresponsive in retrieving this
# data.  As such the data needs to be hacked out of Lightfield
# itself    by  applying  the  intensity  calibration  on  the
# spectrum of the lamp itself.
# To  see the configuration under which this was done, see the
# file   /Log/Data/Intensical  REF.spe.  To  obtain  the  data
# contained in   this file, that data was resampled to have at
# intervals of 0.1 nm,  and an moving average with a stride of
# 10 was taken.
# The  x-axis  corresponds to wavelength in nm, and the y-axis
# is  the  spectrum  of the Intensical lamp normalized so that
# the  maximum is 1.
4.181e+02,8.11110720e-03
4.182e+02,8.21489004e-03
4.183e+02,8.29662185e-03
4.184e+02,8.37096547e-03
4.185e+02,8.44972968e-03
4.186e+02,8.57496962e-03
4.187e+02,8.68885409e-03
4.188e+02,8.82244147e-03
4.189e+02,8.98883646e-03
4.190e+02,9.19797322e-03
4.191e+02,9.38312340e-03
4.192e+02,9.57205441e-03
4.193e+02,9.77864484e-03
4.194e+02,9.98006684e-03
4.195e+02,1.01555630e-02
4.196e+02,1.03316935e-02
4.197e+02,1.05293558e-02
4.198e+02,1.07410569e-02
4.199e+02,1.09547894e-02
4.200e+02,1.11827228e-02
4.201e+02,1.14404295e-02
4.202e+02,1.16842273e-02
4.203e+02,1.19400473e-02
4.204e+02,1.22045902e-02
4.205e+02,1.24708103e-02
4.206e+02,1.27109560e-02
4.207e+02,1.29563473e-02
4.208e+02,1.32056960e-02
4.209e+02,1.34472602e-02
4.210e+02,1.37117781e-02
4.211e+02,1.40027675e-02
4.212e+02,1.43157984e-02
4.213e+02,1.46316807e-02
4.214e+02,1.49448723e-02
4.215e+02,1.52415470e-02
4.216e+02,1.55205273e-02
4.217e+02,1.58015991e-02
4.218e+02,1.61046169e-02
4.219e+02,1.64141495e-02
4.220e+02,1.67275593e-02
4.221e+02,1.70885387e-02
4.222e+02,1.74580864e-02
4.223e+02,1.78216138e-02
4.224e+02,1.81701788e-02
4.225e+02,1.85304371e-02
4.226e+02,1.88862801e-02
4.227e+02,1.92394848e-02
4.228e+02,1.95915659e-02
4.229e+02,1.99680670e-02
4.230e+02,2.03533773e-02
4.231e+02,2.07521423e-02
4.232e+02,2.11725784e-02
4.233e+02,2.15961423e-02
4.234e+02,2.20161843e-02
4.235e+02,2.24365854e-02
4.236e+02,2.28665578e-02
4.237e+02,2.32950538e-02
4.238e+02,2.37265064e-02
4.239e+02,2.41618948e-02
4.240e+02,2.46026205e-02
4.241e+02,2.50348728e-02
4.242e+02,2.54636154e-02
4.243e+02,2.58899836e-02
4.244e+02,2.63140136e-02
4.245e+02,2.67604716e-02
4.246e+02,2.72442652e-02
4.247e+02,2.77667638e-02
4.248e+02,2.82868994e-02
4.249e+02,2.88333781e-02
4.250e+02,2.93804342e-02
4.251e+02,2.99140800e-02
4.252e+02,3.04259920e-02
4.253e+02,3.09455194e-02
4.254e+02,3.14742964e-02
4.255e+02,3.20140710e-02
4.256e+02,3.25572248e-02
4.257e+02,3.31215822e-02
4.258e+02,3.37107998e-02
4.259e+02,3.43309410e-02
4.260e+02,3.50024796e-02
4.261e+02,3.56805902e-02
4.262e+02,3.63573184e-02
4.263e+02,3.70222415e-02
4.264e+02,3.77118961e-02
4.265e+02,3.83791395e-02
4.266e+02,3.90309171e-02
4.267e+02,3.96956292e-02
4.268e+02,4.04052837e-02
4.269e+02,4.11102258e-02
4.270e+02,4.18044420e-02
4.271e+02,4.24986799e-02
4.272e+02,4.32189065e-02
4.273e+02,4.39454935e-02
4.274e+02,4.46780427e-02
4.275e+02,4.54472262e-02
4.276e+02,4.62501439e-02
4.277e+02,4.70801138e-02
4.278e+02,4.79313491e-02
4.279e+02,4.87591555e-02
4.280e+02,4.95850599e-02
4.281e+02,5.04134679e-02
4.282e+02,5.12470508e-02
4.283e+02,5.20785508e-02
4.284e+02,5.29206844e-02
